Id,SalePrice
1,213822.59611636546
2,145169.13541338904
3,213822.59611636546
4,130084.99902717625
5,213822.59611636546
6,213822.59611636546
7,346146.52123230434
8,135148.0449647571
9,130084.99902717625
10,130084.99902717625
11,130084.99902717625
12,213822.59611636546
13,130084.99902717625
14,218874.06194357132
15,145169.13541338904
16,130084.99902717625
17,130084.99902717625
18,145169.13541338904
19,213822.59611636546
20,145169.13541338904
21,213822.59611636546
22,135148.0449647571
23,346146.52123230434
24,130084.99902717625
25,130084.99902717625
26,218874.06194357132
27,130084.99902717625
28,346146.52123230434
29,197842.49554371007
30,130084.99902717625
31,130084.99902717625
32,145169.13541338904
33,213822.59611636546
34,191240.17880084092
35,218874.06194357132
36,213822.59611636546
37,213822.59611636546
38,145169.13541338904
39,130084.99902717625
40,145169.13541338904
41,145169.13541338904
42,151771.45215625822
43,146346.00201690497
44,130084.99902717625
45,140064.26711449717
46,346146.52123230434
47,218874.06194357132
48,218874.06194357132
49,130084.99902717625
50,130084.99902717625
51,213822.59611636546
52,130084.99902717625
53,130084.99902717625
54,229760.3868934377
55,151142.2750038026
56,179124.49592912197
57,213822.59611636546
58,213822.59611636546
59,213822.59611636546
60,130084.99902717625
61,213822.59611636546
62,130084.99902717625
63,213822.59611636546
64,130084.99902717625
65,213822.59611636546
66,213822.59611636546
67,197842.49554371007
68,218874.06194357132
69,130084.99902717625
70,151771.45215625822
71,197842.49554371007
72,146346.00201690497
73,213822.59611636546
74,130084.99902717625
75,130084.99902717625
76,130084.99902717625
77,130084.99902717625
78,130084.99902717625
79,191240.17880084092
80,130084.99902717625
81,151771.45215625822
82,213822.59611636546
83,218874.06194357132
84,130084.99902717625
85,213822.59611636546
86,213822.59611636546
87,213822.59611636546
88,213822.59611636546
89,130084.99902717625
90,213822.59611636546
91,130084.99902717625
92,145169.13541338904
93,136687.3157700454
94,145169.13541338904
95,213822.59611636546
96,213822.59611636546
97,218874.06194357132
98,130084.99902717625
99,130084.99902717625
100,145169.13541338904
101,191240.17880084092
102,163692.39525029107
103,191240.17880084092
104,213822.59611636546
105,145169.13541338904
106,213822.59611636546
107,130084.99902717625
108,130084.99902717625
109,130084.99902717625
110,191240.17880084092
111,145169.13541338904
112,213822.59611636546
113,213822.59611636546
114,197842.49554371007
115,179124.49592912197
116,213822.59611636546
117,130084.99902717625
118,213822.59611636546
119,371913.75664348854
120,213822.59611636546
121,136687.3157700454
122,130084.99902717625
123,130084.99902717625
124,213822.59611636546
125,197842.49554371007
126,130084.99902717625
127,130084.99902717625
128,130084.99902717625
129,130084.99902717625
130,130084.99902717625
131,151771.45215625822
132,213822.59611636546
133,145169.13541338904
134,213822.59611636546
135,191240.17880084092
136,191240.17880084092
137,145169.13541338904
138,371913.75664348854
139,213822.59611636546
140,213822.59611636546
141,130084.99902717625
142,346146.52123230434
143,130084.99902717625
144,218874.06194357132
145,191240.17880084092
146,213822.59611636546
147,130084.99902717625
148,213822.59611636546
149,213822.59611636546
150,130084.99902717625
151,130084.99902717625
152,346146.52123230434
153,141750.3617076263
154,151771.45215625822
155,145169.13541338904
156,130084.99902717625
157,130084.99902717625
158,213822.59611636546
159,213822.59611636546
160,213822.59611636546
161,161430.1384031178
162,218874.06194357132
163,218874.06194357132
164,130084.99902717625
165,140064.26711449717
166,130084.99902717625
167,191240.17880084092
168,218874.06194357132
169,213822.59611636546
170,229760.3868934377
171,130084.99902717625
172,197842.49554371007
173,213822.59611636546
174,151142.2750038026
175,214846.24827535436
176,191240.17880084092
177,213822.59611636546
178,151771.45215625822
179,346146.52123230434
180,130084.99902717625
181,213822.59611636546
182,130084.99902717625
183,145169.13541338904
184,213822.59611636546
185,130084.99902717625
186,197842.49554371007
187,213822.59611636546
188,130084.99902717625
189,145169.13541338904
190,218874.06194357132
191,191240.17880084092
192,130084.99902717625
193,213822.59611636546
194,213822.59611636546
195,130084.99902717625
196,130084.99902717625
197,346146.52123230434
198,157744.59174667177
199,130084.99902717625
200,346146.52123230434
201,213822.59611636546
202,145169.13541338904
203,130084.99902717625
204,213822.59611636546
205,130084.99902717625
206,213822.59611636546
207,197842.49554371007
208,135148.0449647571
209,213822.59611636546
210,130084.99902717625
211,130084.99902717625
212,213822.59611636546
213,213822.59611636546
214,213822.59611636546
215,130084.99902717625
216,145169.13541338904
217,213822.59611636546
218,130084.99902717625
219,146666.58385736632
220,213822.59611636546
221,218874.06194357132
222,213822.59611636546
223,130084.99902717625
224,130084.99902717625
225,346146.52123230434
226,130084.99902717625
227,213822.59611636546
228,130084.99902717625
229,130084.99902717625
230,218874.06194357132
231,145169.13541338904
232,218874.06194357132
233,130084.99902717625
234,130084.99902717625
235,213822.59611636546
236,130084.99902717625
237,213822.59611636546
238,213822.59611636546
239,346146.52123230434
240,130084.99902717625
241,218874.06194357132
242,130084.99902717625
243,130084.99902717625
244,130084.99902717625
245,213822.59611636546
246,346146.52123230434
247,130084.99902717625
248,151142.2750038026
249,213822.59611636546
250,197842.49554371007
251,145169.13541338904
252,218874.06194357132
253,213822.59611636546
254,145169.13541338904
255,145169.13541338904
256,213822.59611636546
257,213822.59611636546
258,218874.06194357132
259,213822.59611636546
260,130084.99902717625
261,157744.59174667177
262,218874.06194357132
263,145169.13541338904
264,130084.99902717625
265,130084.99902717625
266,161430.1384031178
267,213822.59611636546
268,130084.99902717625
